score_diff_state,next_score_diff_state,n,prob
"[-30,-25)","[-30,-25)",36,0.4931506849315068
"[-30,-25)","[-25,-20)",30,0.410958904109589
"[-30,-25)","[-20,-15)",7,0.0958904109589041
"[-25,-20)","[-30,-25)",52,0.14207650273224043
"[-25,-20)","[-25,-20)",184,0.5027322404371585
"[-25,-20)","[-20,-15)",118,0.3224043715846995
"[-25,-20)","[-15,-10)",11,0.030054644808743168
"[-25,-20)","[-10,-5)",1,0.00273224043715847
"[-20,-15)","[-30,-25)",7,0.00682261208576998
"[-20,-15)","[-25,-20)",181,0.17641325536062377
"[-20,-15)","[-20,-15)",487,0.4746588693957115
"[-20,-15)","[-15,-10)",316,0.3079922027290448
"[-20,-15)","[-10,-5)",35,0.0341130604288499
"[-15,-10)","[-25,-20)",37,0.016902695294655094
"[-15,-10)","[-20,-15)",444,0.20283234353586113
"[-15,-10)","[-15,-10)",996,0.4550022841480128
"[-15,-10)","[-10,-5)",625,0.28551850159890363
"[-15,-10)","[-5,0)",86,0.03928734582000914
"[-15,-10)","[0,5)",1,4.5682960255824577e-4
"[-10,-5)","[-25,-20)",2,4.197271773347324e-4
"[-10,-5)","[-20,-15)",101,0.021196222455403986
"[-10,-5)","[-15,-10)",922,0.19349422875131164
"[-10,-5)","[-10,-5)",2242,0.47051416579223504
"[-10,-5)","[-5,0)",1301,0.27303252885624346
"[-10,-5)","[0,5)",193,0.04050367261280168
"[-10,-5)","[5,10)",4,8.394543546694648e-4
"[-5,0)","[-15,-10)",182,0.02142436727486757
"[-5,0)","[-10,-5)",1790,0.2107121836374338
"[-5,0)","[-5,0)",3883,0.45709240729841083
"[-5,0)","[0,5)",2276,0.2679223072395527
"[-5,0)","[5,10)",355,0.04178928781636257
"[-5,0)","[10,15)",9,0.001059446733372572
"[0,5)","[-15,-10)",4,3.9820806371329017e-4
"[0,5)","[-10,-5)",273,0.027177700348432057
"[0,5)","[-5,0)",2176,0.21662518666002986
"[0,5)","[0,5)",4619,0.45983076157292185
"[0,5)","[5,10)",2626,0.261423593827775
"[0,5)","[10,15)",342,0.03404678944748631
"[0,5)","[15,20)",5,4.977600796416127e-4
"[5,10)","[-10,-5)",3,3.8245792962774094e-4
"[5,10)","[-5,0)",204,0.026007139214686385
"[5,10)","[0,5)",1699,0.21659867414584397
"[5,10)","[5,10)",3778,0.48164201937786844
"[5,10)","[10,15)",1934,0.24655787863335032
"[5,10)","[15,20)",222,0.02830188679245283
"[5,10)","[20,25)",4,5.099439061703213e-4
"[10,15)","[-5,0)",5,0.0010399334442595673
"[10,15)","[0,5)",141,0.029326123128119802
"[10,15)","[5,10)",1139,0.23689683860232946
"[10,15)","[10,15)",2318,0.48211314475873546
"[10,15)","[15,20)",1106,0.2300332778702163
"[10,15)","[20,25)",98,0.02038269550748752
"[10,15)","[25,30]",1,2.0798668885191348e-4
"[15,20)","[0,5)",1,3.863987635239567e-4
"[15,20)","[5,10)",79,0.030525502318392583
"[15,20)","[10,15)",645,0.24922720247295208
"[15,20)","[15,20)",1289,0.49806800618238023
"[15,20)","[20,25)",522,0.2017001545595054
"[15,20)","[25,30]",52,0.02009273570324575
"[20,25)","[5,10)",2,0.0017953321364452424
"[20,25)","[10,15)",45,0.04039497307001795
"[20,25)","[15,20)",329,0.29533213644524237
"[20,25)","[20,25)",574,0.5152603231597845
"[20,25)","[25,30]",164,0.14721723518850988
"[25,30]","[10,15)",1,0.0037593984962406013
"[25,30]","[15,20)",15,0.05639097744360902
"[25,30]","[20,25)",127,0.4774436090225564
"[25,30]","[25,30]",123,0.462406015037594
